Airline,FlightNumber,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
WN,781,MDW,IND,Wednesday,16:25,55,1
WN,817,MDW,DTW,Wednesday,16:25,80,1
WN,838,MCI,DEN,Wednesday,16:25,115,1
WN,901,SNA,LAS,Wednesday,16:25,65,1
WN,962,MSP,DEN,Wednesday,16:25,135,0
WN,998,MDW,BWI,Wednesday,16:25,110,1
XE,2008,IAH,JAX,Wednesday,16:25,118,0
XE,2036,IND,EWR,Wednesday,16:25,120,1
XE,2705,IAH,GPT,Wednesday,16:25,73,0
XE,2840,IAH,PNS,Wednesday,16:25,86,0
YV,2611,CLT,CHS,Wednesday,16:25,65,0
YV,2836,BUR,PHX,Wednesday,16:25,92,0
DL,1268,ATL,ECP,Wednesday,16:26,76,1
EV,5295,ATL,VLD,Wednesday,16:26,64,0
FL,102,ATL,DFW,Wednesday,16:26,147,1
OO,4673,GEG,SLC,Wednesday,16:26,99,1
OO,6928,DEN,FAR,Wednesday,16:26,107,0
OO,6971,TUS,DEN,Wednesday,16:26,110,0
OO,6996,CVG,DEN,Wednesday,16:26,194,0
DL,2077,BDL,DTW,Wednesday,16:27,128,1
EV,5303,FAY,ATL,Wednesday,16:27,96,0
EV,5599,MFE,MEM,Wednesday,16:27,113,0
OO,6335,SAN,LAX,Wednesday,16:27,41,0
UA,544,LAS,SFO,Wednesday,16:27,103,0
UA,55,SFO,KOA,Wednesday,16:27,336,0
DL,1467,ATL,SAN,Wednesday,16:28,292,1
DL,1523,BOS,DTW,Wednesday,16:28,140,1
EV,5106,ILM,ATL,Wednesday,16:28,96,1
EV,5192,ATL,MLI,Wednesday,16:28,117,0
EV,5451,ATL,VPS,Wednesday,16:28,77,0
F9,619,IND,DEN,Wednesday,16:28,167,1
XE,3113,OMA,EWR,Wednesday,16:28,172,1
B6,596,MCO,HPN,Wednesday,16:29,151,0
DL,2372,TPA,ATL,Wednesday,16:29,95,1
DL,2441,DCA,TPA,Wednesday,16:29,142,0
DL,2832,SNA,SLC,Wednesday,16:29,106,1
UA,210,LAX,IAD,Wednesday,16:29,286,0
XE,2758,ELP,IAH,Wednesday,16:29,106,0
XE,2886,AMA,IAH,Wednesday,16:29,99,0
9E,4047,VPS,MEM,Wednesday,16:30,91,0
9E,4060,DAL,MEM,Wednesday,16:30,89,0
9E,4336,FSM,MEM,Wednesday,16:30,65,0
9E,4387,COU,MEM,Wednesday,16:30,75,0
AA,1030,DFW,XNA,Wednesday,16:30,65,0
AA,1072,ELP,DFW,Wednesday,16:30,105,1
AA,1121,IAH,DFW,Wednesday,16:30,75,0
AA,1158,DFW,SAT,Wednesday,16:30,70,1
AA,1231,PHL,ORD,Wednesday,16:30,150,0
AA,1255,DFW,SEA,Wednesday,16:30,260,0
AA,1415,TPA,DFW,Wednesday,16:30,170,0
AA,1432,SJU,MIA,Wednesday,16:30,180,0
AA,1528,SFO,DFW,Wednesday,16:30,205,1
AA,2033,BNA,DFW,Wednesday,16:30,125,1
AA,2223,LGA,STL,Wednesday,16:30,170,1
AA,257,JFK,LAS,Wednesday,16:30,360,1
AA,763,LGA,DFW,Wednesday,16:30,260,0
AS,514,SEA,SNA,Wednesday,16:30,157,1
AS,51,ANC,FAI,Wednesday,16:30,56,0
B6,1085,JFK,CLT,Wednesday,16:30,131,0
B6,139,JFK,RSW,Wednesday,16:30,203,0
B6,463,BOS,RSW,Wednesday,16:30,216,0
B6,675,JFK,LAX,Wednesday,16:30,379,0
B6,917,JFK,ORD,Wednesday,16:30,170,0
CO,383,BOS,IAH,Wednesday,16:30,267,0
CO,45,EWR,MIA,Wednesday,16:30,190,0
CO,811,EWR,IAH,Wednesday,16:30,233,1
DL,1390,LGA,BOS,Wednesday,16:30,76,1
DL,1393,BOS,LGA,Wednesday,16:30,73,1
DL,1448,AUS,DTW,Wednesday,16:30,171,0
DL,1856,MIA,JFK,Wednesday,16:30,183,1
DL,1944,SAT,DTW,Wednesday,16:30,177,0
DL,1961,PHL,ATL,Wednesday,16:30,147,1
DL,2035,MKE,ATL,Wednesday,16:30,130,0
DL,2518,MCO,ATL,Wednesday,16:30,102,0
DL,2615,ATL,PHX,Wednesday,16:30,257,0
DL,26,DTW,ATL,Wednesday,16:30,134,0
EV,4981,GSP,ATL,Wednesday,16:30,61,1
EV,5326,TRI,ATL,Wednesday,16:30,72,0
EV,5449,ATL,BHM,Wednesday,16:30,60,0
EV,5477,OMA,MEM,Wednesday,16:30,100,0
F9,360,DEN,TPA,Wednesday,16:30,196,0
F9,720,DEN,DCA,Wednesday,16:30,193,1
FL,810,BOS,BWI,Wednesday,16:30,85,0
FL,815,BWI,BOS,Wednesday,16:30,87,0
MQ,2926,CHA,DFW,Wednesday,16:30,140,1
MQ,2987,AGS,DFW,Wednesday,16:30,175,0
MQ,3267,DFW,LIT,Wednesday,16:30,70,0
MQ,3619,MIA,TLH,Wednesday,16:30,85,0
MQ,3921,MEM,ORD,Wednesday,16:30,115,0
MQ,4209,CLE,ORD,Wednesday,16:30,90,0
MQ,4435,RDU,DCA,Wednesday,16:30,60,0
MQ,4523,BOS,LGA,Wednesday,16:30,80,0
MQ,4527,DCA,RDU,Wednesday,16:30,65,0
OH,6424,DFW,MEM,Wednesday,16:30,92,0
OH,6427,SYR,DTW,Wednesday,16:30,100,0
OH,6439,CVG,IAH,Wednesday,16:30,173,0
OH,6443,CVG,BNA,Wednesday,16:30,69,0
OH,6683,MDT,DTW,Wednesday,16:30,105,0
OO,4475,DSM,MEM,Wednesday,16:30,102,0
OO,4562,SMF,SLC,Wednesday,16:30,99,0
OO,4773,PSC,SLC,Wednesday,16:30,93,0
OO,6866,ORD,ATL,Wednesday,16:30,115,1
UA,442,ORD,BDL,Wednesday,16:30,128,0
UA,77,SFO,HNL,Wednesday,16:30,344,1
UA,926,LAX,SFO,Wednesday,16:30,89,1
US,1291,CLT,TPA,Wednesday,16:30,107,0
US,1492,CLT,BUF,Wednesday,16:30,106,0
US,1524,CLT,SYR,Wednesday,16:30,106,0
US,175,LAS,PHX,Wednesday,16:30,72,0
US,1768,CLT,DCA,Wednesday,16:30,80,0
US,17,JFK,PHX,Wednesday,16:30,340,0
US,2040,DCA,BOS,Wednesday,16:30,91,1
US,473,LAS,SFO,Wednesday,16:30,95,0
US,517,ONT,PHX,Wednesday,16:30,77,0
US,752,BOS,PHL,Wednesday,16:30,101,0
US,936,PHX,MSP,Wednesday,16:30,181,0
WN,1030,SDF,MCO,Wednesday,16:30,125,1
WN,1047,ORF,MDW,Wednesday,16:30,135,0
WN,1099,MCI,STL,Wednesday,16:30,55,1
WN,1923,ABQ,SLC,Wednesday,16:30,95,1
WN,2871,SAT,DAL,Wednesday,16:30,55,1
WN,313,BWI,CLE,Wednesday,16:30,75,0
WN,3395,LAS,TPA,Wednesday,16:30,250,1
WN,3403,BOS,STL,Wednesday,16:30,195,1
WN,36,DAL,MAF,Wednesday,16:30,70,0
WN,41,DAL,HOU,Wednesday,16:30,65,1
WN,429,DEN,MDW,Wednesday,16:30,145,0
WN,42,HOU,DAL,Wednesday,16:30,55,0
WN,567,PHL,TPA,Wednesday,16:30,175,0
WN,638,MCO,MKE,Wednesday,16:30,175,0
WN,644,BUR,SJC,Wednesday,16:30,65,1
WN,755,DAL,SAT,Wednesday,16:30,65,0
WN,925,TUS,DEN,Wednesday,16:30,115,1
WN,931,BWI,MCI,Wednesday,16:30,180,1
WN,934,SMF,SNA,Wednesday,16:30,85,0
WN,938,PHX,LAX,Wednesday,16:30,80,0
XE,2047,DFW,IAH,Wednesday,16:30,65,0
XE,2077,EWR,SAV,Wednesday,16:30,141,0
XE,2207,ICT,IAH,Wednesday,16:30,106,0
XE,2258,AVL,IAH,Wednesday,16:30,152,0
XE,2325,EWR,GSO,Wednesday,16:30,104,1
XE,2423,BHM,IAH,Wednesday,16:30,114,0
XE,2496,IAH,SDF,Wednesday,16:30,125,0
XE,2784,IAH,LIT,Wednesday,16:30,78,0
XE,3010,CLE,PHL,Wednesday,16:30,77,0
YV,2674,LAX,LAS,Wednesday,16:30,64,0
YV,2829,LGB,PHX,Wednesday,16:30,82,0
CO,1028,CLT,IAH,Wednesday,16:31,182,0
DL,1053,ATL,ORF,Wednesday,16:31,96,0
EV,5602,AVL,ATL,Wednesday,16:31,65,1
OO,6662,SFO,MRY,Wednesday,16:31,43,1
OO,6904,SEA,PDX,Wednesday,16:31,48,0
CO,822,MSY,IAH,Wednesday,16:32,81,0
DL,2633,MDW,ATL,Wednesday,16:32,120,0
EV,5004,OAJ,ATL,Wednesday,16:32,97,0
OO,4744,OAK,SLC,Wednesday,16:32,103,0
UA,407,ICT,DEN,Wednesday,16:32,95,0
XE,2074,CHS,EWR,Wednesday,16:32,118,1
9E,3708,ATL,SAV,Wednesday,16:33,69,1
DL,2978,SAN,SLC,Wednesday,16:33,108,0
F9,363,SDF,DEN,Wednesday,16:33,175,1
UA,304,MCO,IAD,Wednesday,16:33,132,0
9E,3896,BGM,DTW,Wednesday,16:34,96,0
FL,319,CLT,ATL,Wednesday,16:34,74,0
UA,377,PHX,DEN,Wednesday,16:34,110,0
UA,473,BWI,ORD,Wednesday,16:34,136,0
UA,967,IAD,LAX,Wednesday,16:34,348,0
9E,3867,ELM,DTW,Wednesday,16:35,88,0
9E,4061,AVP,DTW,Wednesday,16:35,100,1
9E,4087,CMH,JFK,Wednesday,16:35,130,0
AA,1144,ORD,STL,Wednesday,16:35,70,0
AA,1459,LGA,MIA,Wednesday,16:35,205,0
AA,1491,PHL,DFW,Wednesday,16:35,240,0
AA,1623,MCO,DFW,Wednesday,16:35,180,1
AA,297,LAX,HNL,Wednesday,16:35,365,0
AA,356,ORD,LGA,Wednesday,16:35,130,1
AA,743,DFW,LAX,Wednesday,16:35,205,1
AA,768,LAX,STL,Wednesday,16:35,210,0
B6,15,JFK,FLL,Wednesday,16:35,195,0
DL,1065,PDX,SLC,Wednesday,16:35,105,1
DL,1164,MCI,ATL,Wednesday,16:35,122,1
DL,1437,BWI,DTW,Wednesday,16:35,101,1
DL,2640,LAS,SLC,Wednesday,16:35,77,0
EV,5040,BTR,MEM,Wednesday,16:35,76,0
EV,5186,BOS,DCA,Wednesday,16:35,110,0
EV,5418,ATL,AGS,Wednesday,16:35,57,1
EV,5517,CAE,ATL,Wednesday,16:35,74,0
EV,5591,TLH,ATL,Wednesday,16:35,74,1
EV,7365,MOB,MEM,Wednesday,16:35,80,0
FL,752,HSV,BWI,Wednesday,16:35,116,0
HA,239,HNL,LIH,Wednesday,16:35,37,0
MQ,2812,DFW,LRD,Wednesday,16:35,85,0
MQ,2835,DFW,JAN,Wednesday,16:35,75,0
MQ,2844,MHK,DFW,Wednesday,16:35,90,0
MQ,3037,LAX,SBA,Wednesday,16:35,40,1
MQ,3360,CRP,DFW,Wednesday,16:35,80,0
MQ,4041,BMI,ORD,Wednesday,16:35,55,0
MQ,4144,ORD,CMI,Wednesday,16:35,50,0
MQ,4306,RIC,ORD,Wednesday,16:35,135,0
OH,6515,JAX,LGA,Wednesday,16:35,147,0
OO,4674,BUR,SLC,Wednesday,16:35,108,0
UA,935,LAX,HNL,Wednesday,16:35,359,0
US,1230,CLT,DTW,Wednesday,16:35,114,0
US,1735,CLT,MCO,Wednesday,16:35,103,1
US,371,EWR,PHX,Wednesday,16:35,332,0
US,413,CLT,SFO,Wednesday,16:35,347,1
WN,1065,LAS,ALB,Wednesday,16:35,285,1
WN,1109,LAS,PDX,Wednesday,16:35,140,0
WN,1185,DEN,BWI,Wednesday,16:35,200,0
WN,122,BNA,SAT,Wednesday,16:35,150,1
WN,134,TPA,BWI,Wednesday,16:35,130,0
WN,1568,STL,BWI,Wednesday,16:35,115,1
WN,1677,CLE,LAS,Wednesday,16:35,290,1
WN,2116,MCI,LAX,Wednesday,16:35,225,0
WN,293,SAN,OAK,Wednesday,16:35,85,1
WN,3230,BNA,HOU,Wednesday,16:35,130,0
WN,3341,MDW,MSP,Wednesday,16:35,85,1
WN,35,HOU,MSY,Wednesday,16:35,65,0
WN,360,LAS,ELP,Wednesday,16:35,100,1
WN,52,FLL,HOU,Wednesday,16:35,180,1
WN,742,PHX,SLC,Wednesday,16:35,95,0
WN,767,LAS,SMF,Wednesday,16:35,90,1
WN,804,BOI,DEN,Wednesday,16:35,110,0
WN,843,PHX,LAS,Wednesday,16:35,65,1
WN,871,PHX,SAN,Wednesday,16:35,65,0
WN,944,MAF,LAS,Wednesday,16:35,145,0
XE,2362,EWR,RIC,Wednesday,16:35,85,1
XE,2617,TUL,IAH,Wednesday,16:35,96,0
XE,2779,LIT,IAH,Wednesday,16:35,82,1
B6,747,BDL,MCO,Wednesday,16:36,179,0
DL,1407,MSY,MEM,Wednesday,16:36,86,0
DL,1595,SLC,SAN,Wednesday,16:36,113,1
DL,1877,ORD,ATL,Wednesday,16:36,124,1
FL,117,ATL,TPA,Wednesday,16:36,79,0
UA,342,DEN,BOS,Wednesday,16:36,224,0
FL,297,ATL,HOU,Wednesday,16:37,139,0
HA,297,KOA,HNL,Wednesday,16:37,42,0
OO,6680,PSP,DEN,Wednesday,16:37,123,1
DL,2046,PHX,ATL,Wednesday,16:38,212,1
DL,2810,FLL,MEM,Wednesday,16:38,162,0
OO,6585,ORD,CWA,Wednesday,16:38,57,0
UA,150,SFO,ORD,Wednesday,16:38,257,1
UA,286,IAH,IAD,Wednesday,16:38,179,1
YV,7278,ORD,SYR,Wednesday,16:38,99,0
EV,5440,GNV,ATL,Wednesday,16:39,85,1
OO,6237,LAS,FAT,Wednesday,16:39,88,0
OO,6469,BFL,SFO,Wednesday,16:39,76,0
UA,563,PHL,ORD,Wednesday,16:39,147,0
XE,2449,MEM,IAH,Wednesday,16:39,106,0
9E,3761,ITH,DTW,Wednesday,16:40,94,1
9E,3806,ICT,MEM,Wednesday,16:40,88,0
9E,3916,GSP,DTW,Wednesday,16:40,115,1
9E,3951,MKE,MEM,Wednesday,16:40,127,1
AA,1267,MIA,SJU,Wednesday,16:40,150,1
AA,1442,ORD,DCA,Wednesday,16:40,105,1
AA,1605,ORD,SAN,Wednesday,16:40,270,0
AA,1919,ATL,DFW,Wednesday,16:40,150,0
AA,589,DFW,OKC,Wednesday,16:40,55,0
AA,623,BWI,DFW,Wednesday,16:40,220,1
AS,64,WRG,KTN,Wednesday,16:40,40,0
CO,763,IAH,MSY,Wednesday,16:40,67,0
DL,1025,SAV,ATL,Wednesday,16:40,76,0
DL,1119,ATL,RIC,Wednesday,16:40,94,0
DL,1287,ATL,PDX,Wednesday,16:40,324,1
DL,2299,ATL,DTW,Wednesday,16:40,125,1
DL,2386,ATL,LGA,Wednesday,16:40,140,0
EV,5571,ATL,SHV,Wednesday,16:40,114,0
EV,5604,JAN,MEM,Wednesday,16:40,60,0
F9,371,DEN,LAX,Wednesday,16:40,142,0
F9,793,DEN,PDX,Wednesday,16:40,166,0
FL,192,ATL,DCA,Wednesday,16:40,99,0
FL,221,MKE,ATL,Wednesday,16:40,121,0
MQ,3248,GRK,DFW,Wednesday,16:40,50,0
MQ,3608,ATL,MIA,Wednesday,16:40,120,0
MQ,3999,FAR,ORD,Wednesday,16:40,130,0
MQ,4133,ORD,PIT,Wednesday,16:40,90,0
MQ,4344,DTW,ORD,Wednesday,16:40,80,0
MQ,4366,ORD,CVG,Wednesday,16:40,75,0
OO,4588,SFO,SLC,Wednesday,16:40,109,0
US,1190,CLT,PIT,Wednesday,16:40,84,0
US,1437,CLT,LAX,Wednesday,16:40,324,0
WN,1029,SNA,OAK,Wednesday,16:40,80,1
WN,1073,RNO,LAS,Wednesday,16:40,70,0
WN,1411,OAK,BUR,Wednesday,16:40,65,0
WN,1664,PHX,BWI,Wednesday,16:40,250,0
WN,2206,SMF,PHX,Wednesday,16:40,110,1
WN,2461,AUS,TPA,Wednesday,16:40,135,1
WN,2620,SJC,PHX,Wednesday,16:40,110,1
WN,282,LAX,ELP,Wednesday,16:40,110,1
WN,2903,MSY,BWI,Wednesday,16:40,140,0
WN,2968,SLC,PHX,Wednesday,16:40,95,1
WN,2982,BWI,STL,Wednesday,16:40,145,1
WN,3504,MCO,RDU,Wednesday,16:40,100,1
WN,460,PIT,BWI,Wednesday,16:40,70,1
WN,465,TPA,RDU,Wednesday,16:40,105,0
WN,47,OKC,DAL,Wednesday,16:40,55,1
WN,581,JAX,TPA,Wednesday,16:40,55,1
WN,596,BWI,PVD,Wednesday,16:40,70,0
WN,723,BWI,RDU,Wednesday,16:40,65,1
WN,754,SAN,LAS,Wednesday,16:40,70,1
WN,978,SFO,SNA,Wednesday,16:40,80,1
XE,2219,CLE,TYS,Wednesday,16:40,78,1
XE,2465,IAH,MAF,Wednesday,16:40,84,0
XE,2546,CLE,MSP,Wednesday,16:40,124,1
XE,2575,MSP,IAH,Wednesday,16:40,177,1
XE,3103,EWR,SYR,Wednesday,16:40,71,0
YV,2916,PSP,PHX,Wednesday,16:40,83,0
B6,14,FLL,JFK,Wednesday,16:41,175,1
EV,5409,LEX,ATL,Wednesday,16:41,88,1
EV,7120,LGA,IAD,Wednesday,16:41,84,1
HA,190,LIH,HNL,Wednesday,16:41,30,0
UA,741,MDT,ORD,Wednesday,16:41,130,1
UA,799,CLE,ORD,Wednesday,16:41,88,0
XE,2950,MSP,EWR,Wednesday,16:41,165,0
XE,5944,PNS,ORD,Wednesday,16:41,139,0
EV,5010,ATL,OAJ,Wednesday,16:42,82,0
EV,7096,BOS,IAD,Wednesday,16:42,102,1
EV,5021,LIT,ATL,Wednesday,16:43,98,0
OO,6548,ORD,IND,Wednesday,16:43,56,1
OO,6554,FAR,DEN,Wednesday,16:43,122,0
OO,6646,BOI,DEN,Wednesday,16:43,112,0
OO,6655,EAU,ORD,Wednesday,16:43,68,0
OO,6661,MOD,SFO,Wednesday,16:43,33,0
UA,573,SFO,SEA,Wednesday,16:43,133,1
UA,625,DCA,ORD,Wednesday,16:43,136,0
XE,2105,GRR,CLE,Wednesday,16:43,57,1
XE,2560,MAF,IAH,Wednesday,16:43,87,0
XE,2685,MKE,EWR,Wednesday,16:43,136,1
OO,6305,LAX,PSP,Wednesday,16:44,54,0
UA,307,BWI,LAX,Wednesday,16:44,354,0
9E,4342,TPA,RDU,Wednesday,16:45,110,0
AA,1062,DFW,PHL,Wednesday,16:45,185,0
AA,1576,AUS,DFW,Wednesday,16:45,65,0
AA,1802,SAT,DFW,Wednesday,16:45,70,1
AA,181,JFK,LAX,Wednesday,16:45,395,1
AA,1904,ORD,MIA,Wednesday,16:45,185,0
AA,2454,LAX,DFW,Wednesday,16:45,180,1
AA,383,STL,DFW,Wednesday,16:45,115,1
AS,631,TUS,SEA,Wednesday,16:45,190,0
AS,875,SEA,LIH,Wednesday,16:45,373,1
B6,74,JFK,BTV,Wednesday,16:45,82,1
CO,1105,BOS,EWR,Wednesday,16:45,92,0
CO,1185,EWR,ORD,Wednesday,16:45,158,1
CO,1678,SAT,IAH,Wednesday,16:45,65,0
CO,647,ORD,IAH,Wednesday,16:45,169,0
CO,757,CLE,LAS,Wednesday,16:45,268,0
DL,1017,ATL,MKE,Wednesday,16:45,120,0
DL,1454,LAX,ATL,Wednesday,16:45,251,1
DL,2257,SLC,SEA,Wednesday,16:45,130,0
DL,61,JFK,ATL,Wednesday,16:45,170,0
EV,5549,ATL,AVL,Wednesday,16:45,57,0
F9,787,DEN,LAS,Wednesday,16:45,114,0
FL,308,DEN,ATL,Wednesday,16:45,170,0
MQ,2739,DFW,MAF,Wednesday,16:45,75,0
MQ,2995,DSM,DFW,Wednesday,16:45,125,0
MQ,3673,MIA,CLT,Wednesday,16:45,125,0
MQ,4055,ORD,BNA,Wednesday,16:45,90,0
MQ,4222,ORD,TYS,Wednesday,16:45,95,0
MQ,4346,ROC,ORD,Wednesday,16:45,125,0
OH,6477,XNA,CVG,Wednesday,16:45,111,0
OO,4512,SLC,SFO,Wednesday,16:45,122,1
OO,4695,SLC,LAS,Wednesday,16:45,81,0
OO,4777,SLC,ABQ,Wednesday,16:45,102,0
OO,4778,SEA,SLC,Wednesday,16:45,113,0
OO,7756,SLC,CDC,Wednesday,16:45,67,0
OO,7761,SLC,EKO,Wednesday,16:45,69,0
OO,7794,SLC,SUN,Wednesday,16:45,71,1
UA,389,TPA,ORD,Wednesday,16:45,179,0
US,1776,FLL,CLT,Wednesday,16:45,117,0
US,397,LAS,DFW,Wednesday,16:45,157,1
WN,1001,DAL,MSY,Wednesday,16:45,80,1
WN,1018,LAX,OAK,Wednesday,16:45,75,1
WN,1163,DAL,OKC,Wednesday,16:45,50,1
WN,1174,BNA,BWI,Wednesday,16:45,100,1
WN,1264,HOU,MDW,Wednesday,16:45,145,0
WN,1486,OKC,PHX,Wednesday,16:45,150,1
WN,1574,LAS,BWI,Wednesday,16:45,270,0
WN,1727,STL,OMA,Wednesday,16:45,75,1
WN,1943,STL,MSP,Wednesday,16:45,90,0
WN,2004,LAX,LAS,Wednesday,16:45,65,1
WN,2254,OAK,DEN,Wednesday,16:45,140,1
WN,359,TUS,LAS,Wednesday,16:45,80,1
WN,534,PHX,TUL,Wednesday,16:45,135,1
WN,546,SEA,GEG,Wednesday,16:45,60,1
WN,718,MHT,MDW,Wednesday,16:45,165,0
WN,719,BWI,MCO,Wednesday,16:45,140,0
WN,744,ELP,HOU,Wednesday,16:45,105,0
WN,763,ONT,OAK,Wednesday,16:45,75,1
WN,852,PHX,BUR,Wednesday,16:45,85,1
WN,857,MCO,STL,Wednesday,16:45,155,1
WN,945,PHX,SNA,Wednesday,16:45,75,1
WN,960,PVD,MDW,Wednesday,16:45,165,0
WN,996,HOU,HRL,Wednesday,16:45,60,1
XE,2350,CLE,MKE,Wednesday,16:45,77,0
XE,2629,GSP,CLE,Wednesday,16:45,87,1
XE,2714,BWI,EWR,Wednesday,16:45,85,1
XE,2982,CLE,DCA,Wednesday,16:45,72,1
XE,3028,ORF,EWR,Wednesday,16:45,89,1
XE,3079,CLE,STL,Wednesday,16:45,98,0
YV,7280,BTV,ORD,Wednesday,16:45,154,0
DL,2515,JAX,ATL,Wednesday,16:46,83,1
FL,959,BWI,FLL,Wednesday,16:46,158,0
OO,4811,SLC,OAK,Wednesday,16:46,122,0
OO,6639,BZN,DEN,Wednesday,16:46,104,0
OO,6842,IAD,DFW,Wednesday,16:46,214,1
UA,416,SLC,DEN,Wednesday,16:46,86,0
UA,519,MSP,SFO,Wednesday,16:46,264,1
YV,7269,IAD,ATL,Wednesday,16:46,118,0
DL,1659,STL,ATL,Wednesday,16:47,101,0
EV,4951,ATL,CVG,Wednesday,16:47,88,1
EV,5220,AEX,ATL,Wednesday,16:47,107,0
EV,5270,ATL,PHF,Wednesday,16:47,93,0
EV,5338,LFT,MEM,Wednesday,16:47,77,1
FL,1596,TPA,GPT,Wednesday,16:47,95,0
FL,765,PBI,ATL,Wednesday,16:47,107,0
OH,6399,GSO,ATL,Wednesday,16:47,88,0
OO,6719,MSO,DEN,Wednesday,16:47,119,1
UA,477,IAD,MSY,Wednesday,16:47,171,0
CO,1098,DEN,IAH,Wednesday,16:48,137,0
EV,5183,ATL,TRI,Wednesday,16:48,61,1
EV,5462,HSV,ATL,Wednesday,16:48,60,1
HA,546,HNL,OGG,Wednesday,16:48,37,0
XE,2931,IAH,MFE,Wednesday,16:49,74,0
AA,1181,DCA,MIA,Wednesday,16:50,170,0
AA,145,BOS,LAX,Wednesday,16:50,395,0
AA,1521,MCI,ORD,Wednesday,16:50,95,0
AA,355,DFW,ONT,Wednesday,16:50,195,1
AA,740,LAX,LAS,Wednesday,16:50,75,0
CO,355,PBI,EWR,Wednesday,16:50,168,1
DL,1091,SLC,SNA,Wednesday,16:50,113,0
DL,1654,ATL,DAY,Wednesday,16:50,96,0
DL,1728,LAS,JFK,Wednesday,16:50,293,0
DL,2307,CHS,ATL,Wednesday,16:50,85,1
DL,2628,ORD,MEM,Wednesday,16:50,110,1
EV,5280,XNA,MEM,Wednesday,16:50,68,0
EV,5527,BQK,ATL,Wednesday,16:50,78,1
FL,703,ATL,DAY,Wednesday,16:50,82,0
FL,849,ATL,MCO,Wednesday,16:50,90,0
MQ,2740,LFT,DFW,Wednesday,16:50,85,0
MQ,2891,DFW,CID,Wednesday,16:50,120,0
MQ,3254,DFW,HOU,Wednesday,16:50,70,0
MQ,4528,CLE,LGA,Wednesday,16:50,100,1
OH,6556,MSY,CVG,Wednesday,16:50,124,0
OO,4453,SLC,PDX,Wednesday,16:50,112,0
OO,4511,SLC,GEG,Wednesday,16:50,115,0
OO,4625,SLC,TUS,Wednesday,16:50,106,0
OO,4703,SLC,LAX,Wednesday,16:50,114,0
OO,4725,SLC,LGB,Wednesday,16:50,112,0
OO,4854,SLC,IDA,Wednesday,16:50,55,0
OO,6525,AUS,ORD,Wednesday,16:50,155,0
UA,411,CLT,ORD,Wednesday,16:50,130,0
WN,1097,ABQ,PHX,Wednesday,16:50,80,0
WN,1202,BDL,MDW,Wednesday,16:50,160,0
WN,1289,SAT,MDW,Wednesday,16:50,155,1
WN,1333,LIT,LAS,Wednesday,16:50,215,0
WN,1413,PHX,ABQ,Wednesday,16:50,65,0
WN,1599,BHM,HOU,Wednesday,16:50,115,0
WN,1752,DAL,AUS,Wednesday,16:50,55,1
WN,1866,MSP,MDW,Wednesday,16:50,90,1
WN,2105,MSY,MDW,Wednesday,16:50,135,0
WN,288,ABQ,SEA,Wednesday,16:50,200,1
WN,3047,LAS,PHX,Wednesday,16:50,70,1
WN,3333,AUS,DAL,Wednesday,16:50,55,1
WN,371,CMH,MCO,Wednesday,16:50,135,1
WN,3762,RNO,SJC,Wednesday,16:50,60,0
WN,3773,TPA,JAX,Wednesday,16:50,50,1
WN,3932,BUR,OAK,Wednesday,16:50,70,0
WN,59,DEN,AMA,Wednesday,16:50,70,1
WN,746,ISP,MDW,Wednesday,16:50,160,1
WN,921,MHT,BWI,Wednesday,16:50,100,1
XE,2209,CLE,GSP,Wednesday,16:50,80,0
XE,2276,IAH,CVG,Wednesday,16:50,135,0
XE,2446,IAH,OKC,Wednesday,16:50,83,0
XE,2659,CLE,DFW,Wednesday,16:50,180,1
XE,2834,IAH,JAN,Wednesday,16:50,73,1
XE,5996,ORD,BUF,Wednesday,16:50,89,0
YV,7270,ORD,RDU,Wednesday,16:50,115,0
YV,7276,ORD,ROC,Wednesday,16:50,92,0
CO,1100,EWR,BOS,Wednesday,16:51,79,0
OO,6524,SFO,PDX,Wednesday,16:51,100,1
UA,269,RIC,ORD,Wednesday,16:51,135,0
EV,7066,CAE,ORD,Wednesday,16:52,128,0
OO,7019,MFR,PDX,Wednesday,16:52,62,0
UA,595,OMA,DEN,Wednesday,16:52,104,1
YV,7308,IAD,JAX,Wednesday,16:52,117,0
B6,75,SYR,JFK,Wednesday,16:53,85,0
FL,356,ATL,LGA,Wednesday,16:53,128,1
FL,732,MSP,MKE,Wednesday,16:53,76,0
OO,6422,CRW,ORD,Wednesday,16:53,97,1
OO,6551,MCI,ORD,Wednesday,16:53,92,1
XE,2385,BRO,IAH,Wednesday,16:53,82,1
EV,7127,IAD,HSV,Wednesday,16:54,120,0
OH,6540,OKC,MEM,Wednesday,16:54,88,0
UA,898,IAD,BOS,Wednesday,16:54,95,1
XE,2634,HRL,IAH,Wednesday,16:54,86,0
YV,2635,DAB,CLT,Wednesday,16:54,94,0
9E,4095,FSD,MSP,Wednesday,16:55,68,0
AA,1007,MIA,PHX,Wednesday,16:55,320,1
AA,1147,DFW,PHX,Wednesday,16:55,155,1
AA,1235,BOS,DFW,Wednesday,16:55,270,1
AA,1288,MSY,DFW,Wednesday,16:55,100,0
AA,1321,IAD,MIA,Wednesday,16:55,170,1
AA,1372,MIA,RDU,Wednesday,16:55,125,1
AA,1546,SNA,DFW,Wednesday,16:55,165,0
